COUNT    | LINE
     306 | 39
     288 | 43
     280 | 41
     280 | 42
     266 | 40
     265 | 37
     259 | 46
     253 | 45
     251 | 47
     251 | 48
     249 | 44
     247 | 38
     244 | 49
     237 | 50
     229 | 56
     215 | 55
     212 | 35
     212 | 51
     212 | 58
     210 | 53
     209 | 52
     207 | 54
     205 | 36
     202 | 57
     191 | 59
     190 | 34
     177 | 32
     176 | 33
     174 | 60
     172 | 61
     166 | 62
     162 | 31
     146 | 30
     139 | 63
     117 | 64
     117 | 65
     105 | 29
     104 | 28
     104 | 67
     101 | 68
      92 | 66
      86 | 69
      83 | 70
      74 | 27
      69 | 71
      69 | 73
      60 | 72
      55 | 74
      54 | 76
      51 | 75
      51 | 77
      45 | 26
      40 | 81
      37 | 78
      36 | 25
      36 | 80
      35 | 79
      31 | 82
      29 | 85
      28 | 24
      28 | 90
      27 | 86
      23 | 83
      21 | 92
      20 | 95
      19 | 84
      19 | 87
      19 | 89
      18 | 88
      18 | 91
      16 | 94
      15 | 98
      12 | 101
      11 | 23
       8 | 93
       8 | 96
       8 | 97
       7 | 100
       5 | 102
       5 | 99
       3 | 104
       3 | 105
       3 | 106
       2 | 103
       2 | 107
       2 | 22
       1 | 108
       1 | 109
       1 | 110
       1 | 111
       1 | 112
